title,machine_name,type,uri,uuid,created,updated
Comune di Bari,comune_di_bari,harvest_ckan_datigov,http://opendata.comune.bari.it/api/3/action/package_list,a3bf0b3c-dca9-4d27-93c5-d0d2ff4abc2b,2016-11-21 11:48:19 ,2016-11-21 11:48:19
Comune di Catania,comune_di_catania,harvest_ckan_datigov,http://opendata.comune.catania.gov.it/api/3/action/package_list,0b274fb5-495f-4850-8d0d-b5392884ac5f,2016-11-19 01:39:08 ,2016-11-19 01:39:08
Comune di Firenze - Annuario Statistico,comune_di_firenze_annstat,harvest_ckan_datigov,http://annuario.comune.fi.it/api/3/action/package_list,009e77be-4904-44f8-bf17-bdba90e9a028,2016-11-21 12:37:12 ,2016-11-21 12:37:12
Comune di Lecce,comune_di_lecce,harvest_ckan_datigov,http://dati.comune.lecce.it/api/3/action/package_list,14620899-0d11-4064-a4a2-2a5b2c175630,2016-11-20 00:56:09 ,2016-11-20 12:56:20
Comune di Ravenna,comune_di_ravenna,harvest_ckan_datigov,http://opendata.comune.ravenna.it/api/3/action/package_list,eca71b93-174f-4647-b893-33757a7132de,2016-11-16 14:19:26 ,2016-11-23 01:39:07
Consip,consip,harvest_ckan_datigov,http://dati.consip.it/api/3/action/package_list,9a7b1646-5b6a-43eb-ad4a-b04c508e9146,2016-11-17 17:31:12 ,2016-11-23 01:59:28
Dati Basilicata,dati_basilicata,harvest_ckan_datigov,http://dati.regione.basilicata.it/catalog/api/3/action/package_list,2b4049fd-4986-4b9f-8467-0fcb60a65ffe,2016-11-17 16:56:30 ,2016-11-17 16:56:30
Dati Emilia Romagna,dati_emilia_romagna,harvest_ckan_datigov,http://dati.emilia-romagna.it/api/3/action/package_list,ed25d788-1d47-4339-a69c-8a3cbd2b1a17,2016-11-17 23:36:03 ,2016-11-17 23:36:26
Dati Lombardia,dati_lombardia,harvest_dcatap,https://dati.lombardia.it/data.json,34f4452d-2b0d-48c3-bcb0-c74abb50eb24,2016-11-19 00:48:13 ,2016-11-19 00:48:13
Dati MIT,dati_mit,harvest_ckan_datigov,http://dati.mit.gov.it/catalog/api/3/action/package_list,25ecee06-996e-4ff9-ae0d-36f6ef4b0a36,2016-11-15 15:32:56 ,2016-11-15 15:37:04
Dati Piemonte,dati_piemonte,harvest_ckan_v1,http://www.dati.piemonte.it/rpapisrv/api/rest/dataset,b11c281f-5bc2-49fd-b312-c54879e7821f,2016-11-19 23:40:34 ,2016-11-19 23:40:34
